Cuts,No Cut,trigger,1 tight lep,loose #it{e} veto,loose #mu veto,2 jet sel.,1 b jet sel.,MET Filters,mTW>50
Run B,49536054,41150028,16188003,14899579,14836868,784262,59069,59069,
Run C,116235798,86833564,36044175,33143151,33009260,1723860,132033,131975,
Run D,44209726,33119419,15300939,14069448,14015915,726683,56062,56046,
Run E,89646046,68340019,31712580,29187153,29051239,1560922,119915,119869,
Run F,113197865,87080439,40661334,37469993,37272365,2072586,150831,150779,
data,412825489,316523469,139907031,128769324,128185647,6868313,517910,517910,
,,,,,,,,,
Tchannel,1421788,210968,141595,140752,139648,52148,29376,29376,
Tbarchannel,864905,133363,91108,90559,89849,32677,18248,18248,
Total_tch,2286693,344331,232702,231311,229497,84825,47624,47624,
TWChannel,1024538,308386,220929,209483,185064,66127,29992,29992,
TbarWChannel,1024996,308141,220692,209195,184782,65672,29872,29872,
SChannel,44303,10557,6821,6777,6715,2481,1258,1258,
Total_twS,2093836,627084,448442,425455,376561,134280,61122,61122,
TTbar Semi,9007339,2260813,1601986,1587671,1573128,395547,187007,187007,
TTbar Fully,2834411,1018621,687698,576099,342847,121803,63566,63566,
Total_ttbar,11841750,3279434,2289685,2163770,1915975,517350,250573,250573,
Wp0Jets,672634232,166692137,80652304,80639211,80425143,108024,2304,2304,
Wp1Jets,139456783,37251521,23688717,23651098,23604293,256951,3287,3287,
Wp2Jets,56510285,14715376,9596642,9568481,9548341,3940549,68558,68558,
Total_wJets,868601300,218659034,113937663,113858791,113577777,4305524,74149,74149,
DYJets,23454063,38138092,18081050,7018854,6962955,612442,21401,21401,
WWTo2L2NU,294493,101939,63080,53735,33598,3595,47,47,
WZTo2L2Q,111541,34810,20128,9317,9201,2880,34,34,
ZZTo2L2Q,68492,22044,12757,5743,5668,1844,197,197,
Total_Diboson,23928589,38296885,18177015,7087649,7011422,620761,21679,21679,
QCD,27995999192,92003919,13891572,13873738,13837566,1454372,23701,23701,
Total MC w/o QCD,,,,,,,,,
Total MC,28904751359,353210687,148977078,137640713,136948800,7117112,478849,478849,
,,,,,,,,,
MC/Data w/o QCD,,,,,,,,,
MC/Data,7001.69,111.59,106.48,106.89,106.84,103.62,92.46,92.46,
,,,,,,,,,
WJetsToLNu_2J_lagecy,56570453.24,16198292.82,10435797.07,10402485.72,10370233.67,4169511.37,78179.61,,
WJetsToLNu_2J_ext_lagecy,56608750.67,16205977.04,10447373.87,10413021.77,10379465.71,4174139.19,78007.35,,
